benchmark,run,result
quadratic,baseline,785
primes-between,baseline,574100
birthday,baseline,484
orders,baseline,5352
sum-check,baseline,5018
palindrome,baseline,298
totient,baseline,253
relative-primes,baseline,1923
hanoi,baseline,99
is-decreasing,baseline,127
check-primes,baseline,8468
sum-sq-diff,baseline,3038
fitsinside,baseline,10
fact,baseline,229
loopfact,baseline,116
recfact,baseline,104
factors,baseline,72
perfect,baseline,232
bitshift,baseline,167
digital-root,baseline,247
up-arrow,baseline,252
sum-divisors,baseline,159
ackermann,baseline,1464231
pythagorean_triple,baseline,61518
dot-product,baseline,88
euclid,baseline,563
binary-fmt,baseline,100
lcm,baseline,2326
gcd,baseline,46
catalan,baseline,659378
armstrong,baseline,133
pascals-row,baseline,146
collatz,baseline,169
sum-bits,baseline,73
rectangles-area-difference,baseline,14
mod_inv,baseline,558
reverse,baseline,46
fizz-buzz,baseline,3652
bitwise-ops,baseline,1690
